FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
19,BC,1952-R00092, ,59.963000000000001,-133.807999999999990,1952,8,27,1952-08-27 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1952-1952-R00092, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
20,BC,1950-G00078, ,58.905000000000001,-123.173000000000000,1950,6,30,1950-06-30 00:00:00,,,1950-1959,0.100000000000000,L, ,Fire, ,BC-1950-1950-G00078, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
21,BC,1950-G00009, ,58.789000000000001,-122.729000000000000,1950,4,29,1950-04-29 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1950-1950-G00009, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
22,BC,1950-G00049, ,58.817999999999998,-122.729000000000000,1950,6,18,1950-06-18 00:00:00,,,1950-1959,424.899999999999980,L, ,Fire, ,BC-1950-1950-G00049, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
23,BC,1950-G00060, ,58.789000000000001,-122.729000000000000,1950,8,22,1950-08-22 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1950-1950-G00060, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
24,BC,1952-G00025, ,58.817999999999998,-122.867999999999990,1952,5,5,1952-05-05 00:00:00,,,1950-1959,8.400000000000000,H, ,Fire, ,BC-1952-1952-G00025, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
25,BC,1952-G00076, ,58.789000000000001,-122.673000000000000,1952,3,1,1952-03-01 00:00:00,,,1950-1959,0.600000000000000,H, ,Fire, ,BC-1952-1952-G00076, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
26,BC,1952-G00192, ,58.817999999999998,-122.757000000000010,1952,8,2,1952-08-02 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1952-1952-G00192, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
27,BC,1953-G00049, ,58.817999999999998,-123.562000000000000,1953,6,20,1953-06-20 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1953-1953-G00049, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
28,BC,1950-G00059, ,56.759999999999998,-124.819999999999990,1950,6,23,1950-06-23 00:00:00,,,1950-1959,113.300000000000000,H, ,Fire, ,BC-1950-1950-G00059, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
29,BC,1952-G00102, ,57.009999999999998,-125.121000000000000,1952,5,20,1952-05-20 00:00:00,,,1950-1959,2.000000000000000,H, ,Fire, ,BC-1952-1952-G00102, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
30,BC,1952-G00112, ,59.317999999999998,-129.228000000000010,1952,6,1,1952-06-01 00:00:00,,,1950-1959,131.500000000000000,H, ,Fire, ,BC-1952-1952-G00112, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
31,BC,1952-R00033, ,57.567999999999998,-131.729000000000010,1952,6,1,1952-06-01 00:00:00,,,1950-1959,0.400000000000000,H, ,Fire, ,BC-1952-1952-R00033, , ,2020-05-05 00:00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
32,BC,1953-R00037, ,56.491999999999997,-130.426999999999990,1953,3,1,1953-03-01 00:00:00,,,1950-1959,0.100000000000000,L, ,Fire, ,BC-1953-1953-R00037, , ,2020-05-05 00:00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
33,BC,1951-R00063, ,59.375999999999998,-126.727999999999990,1951,7,7,1951-07-07 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1951-1951-R00063, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
34,BC,1950-G00012, ,58.847000000000001,-125.229000000000000,1950,5,5,1950-05-05 00:00:00,,,1950-1959,841.700000000000050,H, ,Fire, ,BC-1950-1950-G00012, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
35,BC,1951-R00057, ,57.655000000000001,-131.621000000000010,1951,6,30,1951-06-30 00:00:00,,,1950-1959,35.399999999999999,H, ,Fire, ,BC-1951-1951-R00057, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
36,BC,1951-R00061, ,58.713000000000001,-132.979000000000010,1951,6,15,1951-06-15 00:00:00,,,1950-1959,68.700000000000003,H, ,Fire, ,BC-1951-1951-R00061, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
