x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.41666666666667,43.65,,0,2016,2016-05-27 00:00:00,,,ELORA RCS,6142286.2016.5.27,,,28.2,22.5,27,0,16.8,6142286,,,,,,0,M,0,,,ON,,,M,4.5,,5,
-80.41666666666667,43.65,,0,2016,2016-05-28 00:00:00,,,ELORA RCS,6142286.2016.5.28,,,30,23.3,28,46,16.6,6142286,,,,,,23,M,0,,,ON,,,M,5.3,,5,
-80.41666666666667,43.65,,0,2016,2016-05-29 00:00:00,,,ELORA RCS,6142286.2016.5.29,,,27.6,22.4,29,56,17.2,6142286,,,,,,28,M,0,,,ON,,,M,4.4,,5,
-80.41666666666667,43.65,,0,2016,2016-05-30 00:00:00,,,ELORA RCS,6142286.2016.5.30,,,24.3,19.2,30,41,14,6142286,,,,,,27,M,0.7,,,ON,,,M,1.2,,5,
-80.41666666666667,43.65,,0.5,2016,2016-05-31 00:00:00,,,ELORA RCS,6142286.2016.5.31,,,23.9,17.5,31,39,11.1,6142286,,,,,,33,M,0,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,1.9,2016,2016-06-01 00:00:00,,,ELORA RCS,6142286.2016.6.1,,,21.6,16.1,1,32,10.5,6142286,,,,,,10,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,0,2016,2016-06-02 00:00:00,,,ELORA RCS,6142286.2016.6.2,,,26.9,19.3,2,48,11.6,6142286,,,,,,26,M,0,,,ON,,,M,1.3,,6,
-80.41666666666667,43.65,,0.4,2016,2016-06-03 00:00:00,,,ELORA RCS,6142286.2016.6.3,,,24.9,17.6,3,0,10.3,6142286,,,,,,0,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,0,2016,2016-06-04 00:00:00,,,ELORA RCS,6142286.2016.6.4,,,24.8,18.3,4,0,11.7,6142286,,,,,,0,M,8.4,,,ON,,,M,0.3,,6,
-80.41666666666667,43.65,,0.6,2016,2016-06-05 00:00:00,,,ELORA RCS,6142286.2016.6.5,,,20.7,17.4,5,52,14,6142286,,,,,,27,M,9,,,ON,,,M,0,,6,
