x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-74.96277777777777,45.25111111111111,,78,6105397,,2019-11-14 00:00:00,,6105397.2019.11.14,,,-0.2,,,MOOSE CREEK WELLS,,0,23.4,,-5.4,,,9,,96,,,-10.7,,2019,14,11,,,,ON
-74.96277777777777,45.25111111111111,,53,6105397,,2019-11-15 00:00:00,,6105397.2019.11.15,,,2.5,,40,MOOSE CREEK WELLS,,0,22.6,,-4.6,,,14,,91,,,-11.6,M,2019,15,11,,,23,ON
-74.96277777777777,45.25111111111111,,49,6105397,,2019-11-16 00:00:00,,6105397.2019.11.16,,,-6.4,,,MOOSE CREEK WELLS,,0,31.8,,-13.8,,,8,,93,,,-21.2,,2019,16,11,,,,ON
-74.96277777777777,45.25111111111111,,57,6105397,,2019-11-17 00:00:00,,6105397.2019.11.17,,,-2.6,,,MOOSE CREEK WELLS,,0,29.8,,-11.8,,,7,,91,,,-20.9,,2019,17,11,,,,ON
-74.96277777777777,45.25111111111111,,58,6105397,,2019-11-18 00:00:00,,6105397.2019.11.18,,,0.3,,,MOOSE CREEK WELLS,,0,23.2,,-5.2,,,7,,84,,,-10.8,,2019,18,11,,,,ON
-74.96277777777777,45.25111111111111,,56,6105397,,2019-11-19 00:00:00,,6105397.2019.11.19,,,1.2,,,MOOSE CREEK WELLS,,0,20.2,,-2.2,,,6,,86,,,-5.6,M,2019,19,11,,,,ON
-74.96277777777777,45.25111111111111,,67,6105397,,2019-11-20 00:00:00,,6105397.2019.11.20,,,2.7,,,MOOSE CREEK WELLS,,0,18.9,,-0.9,,,3,,98,,,-4.5,M,2019,20,11,,,,ON
-74.96277777777777,45.25111111111111,,,6105397,,2019-11-21 00:00:00,,6105397.2019.11.21,,,2.3,,37,MOOSE CREEK WELLS,,0,21.1,,-3.1,,M,,,,M,,-8.4,M,2019,21,11,,,9,ON
-74.96277777777777,45.25111111111111,,62,6105397,,2019-11-22 00:00:00,,6105397.2019.11.22,,,7.2,,48,MOOSE CREEK WELLS,,0,17,,1,,,,,99,,,-5.2,M,2019,22,11,,,27,ON
-74.96277777777777,45.25111111111111,,64,6105397,,2019-11-23 00:00:00,,6105397.2019.11.23,,,4.1,,,MOOSE CREEK WELLS,,0,20.4,,-2.4,,,,,98,,,-8.9,M,2019,23,11,,,,ON
