x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-81.37666666666667,48.57055555555556,,70,6078286,,2023-02-05 00:00:00,,6078286.2023.2.5,0,M,-10.8,0,,TIMMINS A,M,0,34.3,,-16.3,,,,0,86,,,-21.8,T,2023,5,2,,T,,ON
-81.37666666666667,48.57055555555556,,58,6078286,,2023-02-06 00:00:00,,6078286.2023.2.6,0,,-5.7,0,40,TIMMINS A,,0,34.6,,-16.6,,,,0,82,,,-27.5,T,2023,6,2,,T,17,ON
-81.37666666666667,48.57055555555556,,77,6078286,,2023-02-07 00:00:00,,6078286.2023.2.7,0,,0.5,1.8,49,TIMMINS A,,0,22.3,,-4.3,,,,2.4,92,,,-9.1,,2023,7,2,,,16,ON
-81.37666666666667,48.57055555555556,,75,6078286,,2023-02-08 00:00:00,,6078286.2023.2.8,0,,-0.4,0,33,TIMMINS A,,0,23.5,,-5.5,,,,0,95,,,-10.5,T,2023,8,2,,T,25,ON
-81.37666666666667,48.57055555555556,,89,6078286,,2023-02-09 00:00:00,,6078286.2023.2.9,0,,-2.8,0,36,TIMMINS A,,0,24.9,,-6.9,,,,0,95,,,-11,T,2023,9,2,,T,1,ON
-81.37666666666667,48.57055555555556,,64,6078286,,2023-02-10 00:00:00,,6078286.2023.2.10,0,,-4.8,0.9,39,TIMMINS A,,0,31,,-13,,,,0.9,89,,,-21.1,,2023,10,2,,,33,ON
-81.37666666666667,48.57055555555556,,54,6078286,,2023-02-11 00:00:00,,6078286.2023.2.11,0,,2.9,0,55,TIMMINS A,,0,27.6,,-9.6,,,,0,88,,,-22,T,2023,11,2,,T,26,ON
-81.37666666666667,48.57055555555556,,72,6078286,,2023-02-12 00:00:00,,6078286.2023.2.12,0,,-0.6,0,33,TIMMINS A,,0,20.8,,-2.8,,,,0,94,,,-4.9,T,2023,12,2,,T,17,ON
-81.37666666666667,48.57055555555556,,61,6078286,,2023-02-13 00:00:00,,6078286.2023.2.13,0,,2,0,33,TIMMINS A,,0,20.5,,-2.5,,,,0,92,,,-7,T,2023,13,2,,T,32,ON
-81.37666666666667,48.57055555555556,,41,6078286,,2023-02-14 00:00:00,,6078286.2023.2.14,0,,8.7,0,50,TIMMINS A,,0,18.6,,-0.6,,,,0,94,,,-9.9,,2023,14,2,,,19,ON
-81.37666666666667,48.57055555555556,,63,6078286,,2023-02-15 00:00:00,,6078286.2023.2.15,5.3,,4.5,6.2,53,TIMMINS A,,0,24.4,,-6.4,,,,0.9,95,,,-17.2,,2023,15,2,,,31,ON
-81.37666666666667,48.57055555555556,,62,6078286,,2023-02-16 00:00:00,,6078286.2023.2.16,0,,-12.3,0,37,TIMMINS A,,0,35,,-17,,,,0,81,,,-21.6,T,2023,16,2,,T,32,ON
-81.37666666666667,48.57055555555556,,51,6078286,,2023-02-17 00:00:00,,6078286.2023.2.17,0,,-10.2,0,35,TIMMINS A,,0,36.3,,-18.3,,,,0,80,,,-26.3,T,2023,17,2,,T,20,ON
-81.37666666666667,48.57055555555556,,61,6078286,,2023-02-18 00:00:00,,6078286.2023.2.18,0,,-4.1,1.5,42,TIMMINS A,,0,27.8,,-9.8,,,,1.5,92,,,-15.4,,2023,18,2,,,27,ON
-81.37666666666667,48.57055555555556,,72,6078286,,2023-02-19 00:00:00,,6078286.2023.2.19,0,,2,0.3,62,TIMMINS A,,0,26,,-8,,,,0.3,92,,,-18,,2023,19,2,,,33,ON
-81.37666666666667,48.57055555555556,,49,6078286,,2023-02-20 00:00:00,,6078286.2023.2.20,0,,-14.2,0,37,TIMMINS A,,0,36,,-18,,,,0,76,,,-21.8,T,2023,20,2,,T,34,ON
-81.37666666666667,48.57055555555556,,65,6078286,,2023-02-21 00:00:00,,6078286.2023.2.21,0,,-12,0.7,38,TIMMINS A,,0,37.6,,-19.6,,,,0.7,82,,,-27.2,,2023,21,2,,,32,ON
-81.37666666666667,48.57055555555556,,54,6078286,,2023-02-22 00:00:00,,6078286.2023.2.22,0,M,-15.5,0,,TIMMINS A,M,0,40,,-22,,,,0,80,,,-28.4,T,2023,22,2,,T,,ON
-81.37666666666667,48.57055555555556,,46,6078286,,2023-02-23 00:00:00,,6078286.2023.2.23,0,,-18.7,0,37,TIMMINS A,,0,39.8,,-21.8,,,,0,75,,,-24.8,T,2023,23,2,,T,1,ON
-81.37666666666667,48.57055555555556,,44,6078286,,2023-02-24 00:00:00,,6078286.2023.2.24,0,M,-13.7,0,,TIMMINS A,M,0,39,,-21,,,,0,79,,,-28.2,T,2023,24,2,,T,,ON
-81.37666666666667,48.57055555555556,,65,6078286,,2023-02-25 00:00:00,,6078286.2023.2.25,0,,-7.7,0.7,34,TIMMINS A,,0,35.1,,-17.1,,,,0.7,87,,,-26.5,,2023,25,2,,,19,ON
-81.37666666666667,48.57055555555556,,61,6078286,,2023-02-26 00:00:00,,6078286.2023.2.26,0,,-8,1.5,42,TIMMINS A,,0,32.9,,-14.9,,,2,1.5,87,,,-21.7,,2023,26,2,,,31,ON
-81.37666666666667,48.57055555555556,,53,6078286,,2023-02-27 00:00:00,,6078286.2023.2.27,0,,-8.4,0,31,TIMMINS A,,0,34.4,,-16.4,,,,0,84,,,-24.4,,2023,27,2,,,14,ON
-81.37666666666667,48.57055555555556,M,,6078286,,2023-02-28 00:00:00,M,6078286.2023.2.28,0,,,4.7,40,TIMMINS A,,,,M,,M,M,,4.7,,M,M,,,2023,28,2,,,28,ON
-81.37666666666667,48.57055555555556,,48,6078286,,2023-03-01 00:00:00,,6078286.2023.3.1,0,M,-0.4,0,,TIMMINS A,M,0,26.6,,-8.6,,,,0,92,,,-16.8,T,2023,1,3,,T,,ON
-81.37666666666667,48.57055555555556,,40,6078286,,2023-03-02 00:00:00,,6078286.2023.3.2,0,M,-7.3,0,,TIMMINS A,M,0,33.2,,-15.2,,,,0,82,,,-23.1,,2023,2,3,,,,ON
-81.37666666666667,48.57055555555556,,56,6078286,,2023-03-03 00:00:00,,6078286.2023.3.3,0,,-0.1,0,42,TIMMINS A,,0,30.6,,-12.6,,,,0,83,,,-25,,2023,3,3,,,18,ON
-81.37666666666667,48.57055555555556,,48,6078286,,2023-03-04 00:00:00,,6078286.2023.3.4,0,M,5,0,,TIMMINS A,M,0,22.8,,-4.8,,,,0,92,,,-14.5,,2023,4,3,,,,ON
-81.37666666666667,48.57055555555556,,37,6078286,,2023-03-05 00:00:00,,6078286.2023.3.5,0,,3.9,0,31,TIMMINS A,,0,21.2,,-3.2,,,,0,88,,,-10.3,T,2023,5,3,,T,33,ON
-81.37666666666667,48.57055555555556,,33,6078286,,2023-03-06 00:00:00,,6078286.2023.3.6,0,,1.6,0,32,TIMMINS A,,0,24.3,,-6.3,,,,0,89,,,-14.2,,2023,6,3,,,3,ON
-81.37666666666667,48.57055555555556,,34,6078286,,2023-03-07 00:00:00,,6078286.2023.3.7,0,,0.4,0,59,TIMMINS A,,0,24.9,,-6.9,,,,0,60,,,-14.1,,2023,7,3,,,35,ON
-81.37666666666667,48.57055555555556,,32,6078286,,2023-03-08 00:00:00,,6078286.2023.3.8,0,,-1.1,0,38,TIMMINS A,,0,25.8,,-7.8,,,,0,67,,,-14.4,,2023,8,3,,,31,ON
-81.37666666666667,48.57055555555556,,60,6078286,,2023-03-09 00:00:00,,6078286.2023.3.9,0,,-4.7,0,35,TIMMINS A,,0,27.7,,-9.7,,,,0,78,,,-14.6,T,2023,9,3,,T,2,ON
-81.37666666666667,48.57055555555556,,39,6078286,,2023-03-10 00:00:00,,6078286.2023.3.10,0,,-3.3,0,36,TIMMINS A,,0,27.4,,-9.4,,,,0,80,,,-15.4,T,2023,10,3,,T,2,ON
-81.37666666666667,48.57055555555556,,53,6078286,,2023-03-11 00:00:00,,6078286.2023.3.11,0,,-5.9,0,34,TIMMINS A,,0,29.8,,-11.8,,,,0,87,,,-17.6,T,2023,11,3,,T,1,ON
-81.37666666666667,48.57055555555556,,66,6078286,,2023-03-12 00:00:00,,6078286.2023.3.12,0,M,-9.6,0.4,,TIMMINS A,M,0,31.2,,-13.2,,,,0.4,86,,,-16.8,,2023,12,3,,,,ON
-81.37666666666667,48.57055555555556,,59,6078286,,2023-03-13 00:00:00,,6078286.2023.3.13,0,,-7.5,0,42,TIMMINS A,,0,29.7,,-11.7,,,,0,80,,,-15.9,T,2023,13,3,,T,36,ON
-81.37666666666667,48.57055555555556,,38,6078286,,2023-03-14 00:00:00,,6078286.2023.3.14,0,,-2.8,0,42,TIMMINS A,,0,28.7,,-10.7,,,,0,83,,,-18.6,T,2023,14,3,,T,32,ON
-81.37666666666667,48.57055555555556,,26,6078286,,2023-03-15 00:00:00,,6078286.2023.3.15,0,,3.2,0,38,TIMMINS A,,0,27.3,,-9.3,,,,0,84,,,-21.7,,2023,15,3,,,19,ON
-81.37666666666667,48.57055555555556,,51,6078286,,2023-03-16 00:00:00,,6078286.2023.3.16,0,,3.1,2.9,35,TIMMINS A,,0,17.8,,0.2,,,,2.9,95,,,-2.8,,2023,16,3,,,7,ON
-81.37666666666667,48.57055555555556,,84,6078286,,2023-03-17 00:00:00,,6078286.2023.3.17,0,,-1.4,11.5,42,TIMMINS A,,0,24.1,,-6.1,,,,11.5,92,,,-10.7,,2023,17,3,,,3,ON
-81.37666666666667,48.57055555555556,,60,6078286,,2023-03-18 00:00:00,,6078286.2023.3.18,0,,-10.2,0.2,33,TIMMINS A,,0,32.1,,-14.1,,,,0.2,85,,,-17.9,,2023,18,3,,,29,ON
-81.37666666666667,48.57055555555556,,50,6078286,,2023-03-19 00:00:00,,6078286.2023.3.19,0,,-4.6,0.3,33,TIMMINS A,,0,29.3,,-11.3,,,,0.3,92,,,-18,,2023,19,3,,,27,ON
-81.37666666666667,48.57055555555556,,48,6078286,,2023-03-20 00:00:00,,6078286.2023.3.20,0,M,-4.7,0,,TIMMINS A,M,0,30.4,,-12.4,,,,0,92,,,-20.1,T,2023,20,3,,T,,ON
-81.37666666666667,48.57055555555556,,33,6078286,,2023-03-21 00:00:00,,6078286.2023.3.21,0,M,-4.6,0,,TIMMINS A,M,0,34.4,,-16.4,,,,0,83,,,-28.2,,2023,21,3,,,,ON
-81.37666666666667,48.57055555555556,,55,6078286,,2023-03-22 00:00:00,,6078286.2023.3.22,0,,0.8,1.2,39,TIMMINS A,,0,26.6,,-8.6,,,,1.2,95,,,-17.9,,2023,22,3,,,12,ON
-81.37666666666667,48.57055555555556,,58,6078286,,2023-03-23 00:00:00,,6078286.2023.3.23,0,,1.4,0,48,TIMMINS A,,0,22.9,,-4.9,,,,0,95,,,-11.1,T,2023,23,3,,T,29,ON
-81.37666666666667,48.57055555555556,,37,6078286,,2023-03-24 00:00:00,,6078286.2023.3.24,0,M,2.4,0,,TIMMINS A,M,0,26.2,,-8.2,,,,0,89,,,-18.7,T,2023,24,3,,T,,ON
-81.37666666666667,48.57055555555556,,42,6078286,,2023-03-25 00:00:00,,6078286.2023.3.25,0,,2.4,5.5,50,TIMMINS A,,0,23.7,,-5.7,,,,5.5,94,,,-13.8,,2023,25,3,,,11,ON
-81.37666666666667,48.57055555555556,,54,6078286,,2023-03-26 00:00:00,,6078286.2023.3.26,0,,3.4,0.5,39,TIMMINS A,,0,20,,-2,,,,0.5,94,,,-7.4,,2023,26,3,,,31,ON
-81.37666666666667,48.57055555555556,,56,6078286,,2023-03-27 00:00:00,,6078286.2023.3.27,0,M,-2.1,0,,TIMMINS A,M,0,23.7,,-5.7,,,,0,84,,,-9.3,T,2023,27,3,,T,,ON
-81.37666666666667,48.57055555555556,,50,6078286,,2023-03-28 00:00:00,,6078286.2023.3.28,0,,1.8,0.5,46,TIMMINS A,,0,24.3,,-6.3,,,,0.5,90,,,-14.4,,2023,28,3,,,28,ON
-81.37666666666667,48.57055555555556,,52,6078286,,2023-03-29 00:00:00,,6078286.2023.3.29,0,,-6.2,2.9,46,TIMMINS A,,0,28.3,,-10.3,,,,7,87,,,-14.4,,2023,29,3,,E,33,ON
