x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-78.16666666666667,43.95,,48,6151684,M,2010-02-04 00:00:00,,6151684.2010.2.4,,,-0.4,0.8,33,COBOURG (AUT),,0,24.4,,-6.4,,,1,,81,,,-12.4,,2010,4,2,,M,26,ON
-78.16666666666667,43.95,,46,6151684,M,2010-02-05 00:00:00,,6151684.2010.2.5,,,-0.4,0,32,COBOURG (AUT),,0,22.7,,-4.7,,,1,,79,,,-9,,2010,5,2,,M,5,ON
-78.16666666666667,43.95,,46,6151684,M,2010-02-06 00:00:00,,6151684.2010.2.6,,,-5.7,0.4,39,COBOURG (AUT),,0,27.1,,-9.1,,,1,,68,,,-12.4,,2010,6,2,,M,5,ON
-78.16666666666667,43.95,,48,6151684,M,2010-02-07 00:00:00,,6151684.2010.2.7,,,-3.2,0.6,35,COBOURG (AUT),,0,25.9,,-7.9,,,1,,76,,,-12.6,,2010,7,2,,M,34,ON
-78.16666666666667,43.95,,54,6151684,M,2010-02-08 00:00:00,,6151684.2010.2.8,,,-3.3,0,37,COBOURG (AUT),,0,25.5,,-7.5,,,1,,75,,,-11.7,,2010,8,2,,M,31,ON
-78.16666666666667,43.95,,64,6151684,M,2010-02-09 00:00:00,,6151684.2010.2.9,,,-4.5,0,32,COBOURG (AUT),,0,25.9,,-7.9,,,1,,82,,,-11.2,,2010,9,2,,M,11,ON
-78.16666666666667,43.95,,40,6151684,M,2010-02-10 00:00:00,,6151684.2010.2.10,,,2.2,0,43,COBOURG (AUT),,0,20.4,,-2.4,,,1,,76,,,-6.9,,2010,10,2,,M,34,ON
-78.16666666666667,43.95,,41,6151684,M,2010-02-11 00:00:00,,6151684.2010.2.11,,,-2.5,0.3,37,COBOURG (AUT),,0,24.5,,-6.5,,,1,,77,,,-10.5,,2010,11,2,,M,35,ON
-78.16666666666667,43.95,,39,6151684,M,2010-02-12 00:00:00,,6151684.2010.2.12,,,-3.1,0,33,COBOURG (AUT),,0,25.8,,-7.8,,,1,,79,,,-12.4,,2010,12,2,,M,35,ON
-78.16666666666667,43.95,,57,6151684,M,2010-02-13 00:00:00,,6151684.2010.2.13,,,-3.3,0,37,COBOURG (AUT),,0,26.5,,-8.5,,,1,,81,,,-13.7,,2010,13,2,,M,32,ON
-78.16666666666667,43.95,,61,6151684,M,2010-02-14 00:00:00,,6151684.2010.2.14,,,0.4,0,43,COBOURG (AUT),,0,20.4,,-2.4,,,1,,87,,,-5.2,,2010,14,2,,M,29,ON
-78.16666666666667,43.95,,65,6151684,M,2010-02-15 00:00:00,,6151684.2010.2.15,,,-1.3,0,35,COBOURG (AUT),,0,20.4,,-2.4,,,1,,86,,,-3.5,,2010,15,2,,M,32,ON
-78.16666666666667,43.95,,61,6151684,M,2010-02-16 00:00:00,,6151684.2010.2.16,,,-0.2,0,0,COBOURG (AUT),,0,20,,-2,,,1,,82,,,-3.7,,2010,16,2,,M,0,ON
-78.16666666666667,43.95,,76,6151684,M,2010-02-17 00:00:00,,6151684.2010.2.17,,,0.4,0.6,39,COBOURG (AUT),,0,19.6,,-1.6,,,1,,86,,,-3.5,,2010,17,2,,M,33,ON
-78.16666666666667,43.95,,57,6151684,M,2010-02-18 00:00:00,,6151684.2010.2.18,,,1.6,0.2,43,COBOURG (AUT),,0,18.5,,-0.5,,,1,,84,,,-2.5,,2010,18,2,,M,30,ON
-78.16666666666667,43.95,,61,6151684,M,2010-02-19 00:00:00,,6151684.2010.2.19,,,2.8,0.2,48,COBOURG (AUT),,0,17.2,,0.8,,,,,85,,,-1.2,,2010,19,2,,M,31,ON
