x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-82.9,42.03333333333333,,,6133362,M,2018-07-06 00:00:00,,6133362.2018.7.6,,,24.9,0,39,HARROW CDA AUTO,,1.5,0,,19.5,,,,,,,,14,,2018,6,7,,M,34,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-07 00:00:00,,6133362.2018.7.7,,,24.7,0,0,HARROW CDA AUTO,,0.5,0,,18.5,,,,,,,,12.2,,2018,7,7,,M,0,ON
-82.9,42.03333333333333,M,,6133362,M,2018-07-08 00:00:00,M,6133362.2018.7.8,,,26.9,,0,HARROW CDA AUTO,,,,M,,M,,,,,,E,,M,2018,8,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-09 00:00:00,,6133362.2018.7.9,,,30.5,0,0,HARROW CDA AUTO,,5.4,0,,23.4,,,,,,,,16.2,,2018,9,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-10 00:00:00,,6133362.2018.7.10,,,29.6,0,0,HARROW CDA AUTO,,4.7,0,,22.7,,,,,,,,15.8,,2018,10,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-11 00:00:00,,6133362.2018.7.11,,,27.9,0,0,HARROW CDA AUTO,,2.9,0,,20.9,,,,,,,,13.9,,2018,11,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-12 00:00:00,,6133362.2018.7.12,,,26.2,0,0,HARROW CDA AUTO,,1.2,0,,19.2,,,,,,,,12.2,,2018,12,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-13 00:00:00,,6133362.2018.7.13,,,29,0,0,HARROW CDA AUTO,,5.2,0,,23.2,,,,,,,,17.4,,2018,13,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-14 00:00:00,,6133362.2018.7.14,,,30.1,0,0,HARROW CDA AUTO,,7.6,0,,25.6,,,,,,,,21.1,,2018,14,7,,M,0,ON
-82.9,42.03333333333333,,,6133362,M,2018-07-15 00:00:00,,6133362.2018.7.15,,,30.8,0,0,HARROW CDA AUTO,,7.8,0,,25.8,,,,,,,,20.8,,2018,15,7,,M,0,ON
-82.9,42.03333333333333,,57,6133362,,2018-07-16 00:00:00,,6133362.2018.7.16,,,30.5,0,33,HARROW CDA AUTO,,8.8,0,,26.8,,,,,87,,,23.1,,2018,16,7,,,21,ON
-82.9,42.03333333333333,,33,6133362,,2018-07-17 00:00:00,,6133362.2018.7.17,,,28.4,0,,HARROW CDA AUTO,,4.4,0,,22.4,,,,,79,,,16.4,,2018,17,7,,,,ON
-82.9,42.03333333333333,,39,6133362,,2018-07-18 00:00:00,,6133362.2018.7.18,,,25.7,0,,HARROW CDA AUTO,,2.2,0,,20.2,,,,,89,,,14.7,,2018,18,7,,,,ON
-82.9,42.03333333333333,,41,6133362,,2018-07-19 00:00:00,,6133362.2018.7.19,,,26.8,0,,HARROW CDA AUTO,,2.4,0,,20.4,,,,,87,,,14,,2018,19,7,,,,ON
-82.9,42.03333333333333,,66,6133362,,2018-07-20 00:00:00,,6133362.2018.7.20,,,26.5,4.2,36,HARROW CDA AUTO,,4.2,0,,22.2,,,,,91,,,17.9,,2018,20,7,,,16,ON
-82.9,42.03333333333333,,76,6133362,,2018-07-21 00:00:00,,6133362.2018.7.21,,,23,1.8,32,HARROW CDA AUTO,,3.3,0,,21.3,,,,,93,,,19.6,,2018,21,7,,,17,ON
-82.9,42.03333333333333,,80,6133362,,2018-07-22 00:00:00,,6133362.2018.7.22,,,21.6,0.5,,HARROW CDA AUTO,,0.1,0,,18.1,,,,,92,,,14.6,,2018,22,7,,,,ON
-82.9,42.03333333333333,,70,6133362,,2018-07-23 00:00:00,,6133362.2018.7.23,,,25.6,0,,HARROW CDA AUTO,,2,0,,20,,,,,93,,,14.4,,2018,23,7,,,,ON
-82.9,42.03333333333333,,60,6133362,,2018-07-24 00:00:00,,6133362.2018.7.24,,,28,0,,HARROW CDA AUTO,,5.9,0,,23.9,,,,,92,,,19.8,,2018,24,7,,,,ON
-82.9,42.03333333333333,,57,6133362,,2018-07-25 00:00:00,,6133362.2018.7.25,,,29.8,7.9,,HARROW CDA AUTO,,6.6,0,,24.6,,,,,94,,,19.5,,2018,25,7,,,,ON
-82.9,42.03333333333333,,49,6133362,,2018-07-26 00:00:00,,6133362.2018.7.26,,,28.2,11.3,61,HARROW CDA AUTO,,4.9,0,,22.9,,,,,94,,,17.5,,2018,26,7,,,26,ON
-82.9,42.03333333333333,,49,6133362,,2018-07-27 00:00:00,,6133362.2018.7.27,,,26.7,0,,HARROW CDA AUTO,,2.3,0,,20.3,,,,,89,,,14,,2018,27,7,,,,ON
-82.9,42.03333333333333,,47,6133362,,2018-07-28 00:00:00,,6133362.2018.7.28,,,25.8,0,,HARROW CDA AUTO,,2.3,0,,20.3,,,,,87,,,14.8,,2018,28,7,,,,ON
-82.9,42.03333333333333,,47,6133362,,2018-07-29 00:00:00,,6133362.2018.7.29,,,26.1,0,,HARROW CDA AUTO,,2.6,0,,20.6,,,,,90,,,15.1,,2018,29,7,,,,ON
-82.9,42.03333333333333,,53,6133362,,2018-07-30 00:00:00,,6133362.2018.7.30,,,25.8,0,,HARROW CDA AUTO,,3.1,0,,21.1,,,,,91,,,16.4,,2018,30,7,,,,ON
-82.9,42.03333333333333,,69,6133362,,2018-07-31 00:00:00,,6133362.2018.7.31,,,25.3,4.5,,HARROW CDA AUTO,,3.2,0,,21.2,,,,,94,,,17,,2018,31,7,,,,ON
-82.9,42.03333333333333,,63,6133362,,2018-08-01 00:00:00,,6133362.2018.8.1,,,25.2,0,,HARROW CDA AUTO,,3.3,0,,21.3,,,,,94,,,17.3,,2018,1,8,,,,ON
-82.9,42.03333333333333,,53,6133362,,2018-08-02 00:00:00,,6133362.2018.8.2,,,27.3,0,,HARROW CDA AUTO,,4.1,0,,22.1,,,,,94,,,16.9,,2018,2,8,,,,ON
-82.9,42.03333333333333,,59,6133362,,2018-08-03 00:00:00,,6133362.2018.8.3,,,28.2,0,,HARROW CDA AUTO,,5.8,0,,23.8,,,,,93,,,19.4,,2018,3,8,,,,ON
-82.9,42.03333333333333,,40,6133362,,2018-08-04 00:00:00,,6133362.2018.8.4,,,29.5,0,,HARROW CDA AUTO,,4.4,0,,22.4,,,,,94,,,15.3,,2018,4,8,,,,ON
-82.9,42.03333333333333,,51,6133362,,2018-08-05 00:00:00,,6133362.2018.8.5,,,32.2,0,,HARROW CDA AUTO,,8.9,0,,26.9,,,,,92,,,21.6,,2018,5,8,,,,ON
-82.9,42.03333333333333,,65,6133362,,2018-08-06 00:00:00,,6133362.2018.8.6,,,30.7,5.5,,HARROW CDA AUTO,,8.1,0,,26.1,,,,,94,,,21.4,,2018,6,8,,,,ON
-82.9,42.03333333333333,,71,6133362,,2018-08-07 00:00:00,,6133362.2018.8.7,,,26.9,0,,HARROW CDA AUTO,,6.1,0,,24.1,,,,,93,,,21.3,,2018,7,8,,,,ON
-82.9,42.03333333333333,,63,6133362,,2018-08-08 00:00:00,,6133362.2018.8.8,,,28,1.6,32,HARROW CDA AUTO,,5.7,0,,23.7,,,,,95,,,19.3,,2018,8,8,,,26,ON
-82.9,42.03333333333333,,60,6133362,,2018-08-09 00:00:00,,6133362.2018.8.9,,,28.4,0,31,HARROW CDA AUTO,,5.2,0,,23.2,,,,,95,,,17.9,,2018,9,8,,,23,ON
-82.9,42.03333333333333,,49,6133362,,2018-08-10 00:00:00,,6133362.2018.8.10,,,28.1,0,,HARROW CDA AUTO,,4.7,0,,22.7,,,,,96,,,17.2,,2018,10,8,,,,ON
-82.9,42.03333333333333,,47,6133362,,2018-08-11 00:00:00,,6133362.2018.8.11,,,27.3,0,,HARROW CDA AUTO,,3.5,0,,21.5,,,,,94,,,15.7,,2018,11,8,,,,ON
-82.9,42.03333333333333,,59,6133362,,2018-08-12 00:00:00,,6133362.2018.8.12,,,27,0.5,,HARROW CDA AUTO,,4.2,0,,22.2,,,,,95,,,17.5,,2018,12,8,,,,ON
-82.9,42.03333333333333,,47,6133362,,2018-08-13 00:00:00,,6133362.2018.8.13,,,28.6,0,,HARROW CDA AUTO,,4.5,0,,22.5,,,,,96,,,16.5,,2018,13,8,,,,ON
-82.9,42.03333333333333,,50,6133362,,2018-08-14 00:00:00,,6133362.2018.8.14,,,30,0,,HARROW CDA AUTO,,6,0,,24,,,,,92,,,18,,2018,14,8,,,,ON
-82.9,42.03333333333333,,55,6133362,,2018-08-15 00:00:00,,6133362.2018.8.15,,,29.3,1.7,,HARROW CDA AUTO,,6.2,0,,24.2,,,,,91,,,19.2,,2018,15,8,,,,ON
-82.9,42.03333333333333,,87,6133362,,2018-08-16 00:00:00,,6133362.2018.8.16,,,24,9.8,33,HARROW CDA AUTO,,4.3,0,,22.3,,,,,94,,,20.7,,2018,16,8,,,20,ON
-82.9,42.03333333333333,,75,6133362,,2018-08-17 00:00:00,,6133362.2018.8.17,,,26.1,0,,HARROW CDA AUTO,,5.8,0,,23.8,,,,,92,,,21.5,,2018,17,8,,,,ON
-82.9,42.03333333333333,,68,6133362,,2018-08-18 00:00:00,,6133362.2018.8.18,,,27.1,0,,HARROW CDA AUTO,,5.3,0,,23.3,,,,,95,,,19.4,,2018,18,8,,,,ON
-82.9,42.03333333333333,,64,6133362,,2018-08-19 00:00:00,,6133362.2018.8.19,,,25.2,0,,HARROW CDA AUTO,,3.2,0,,21.2,,,,,96,,,17.3,,2018,19,8,,,,ON
-82.9,42.03333333333333,,61,6133362,,2018-08-20 00:00:00,,6133362.2018.8.20,,,26.1,4.4,,HARROW CDA AUTO,,3,0,,21,,,,,94,,,16,,2018,20,8,,,,ON
-82.9,42.03333333333333,,62,6133362,,2018-08-21 00:00:00,,6133362.2018.8.21,,,27.7,3.9,33,HARROW CDA AUTO,,5,0,,23,,,,,93,,,18.2,,2018,21,8,,,29,ON
-82.9,42.03333333333333,,36,6133362,,2018-08-22 00:00:00,,6133362.2018.8.22,,,23.8,0,,HARROW CDA AUTO,,0.5,0,,18.5,,,,,83,,,13.3,,2018,22,8,,,,ON
-82.9,42.03333333333333,,45,6133362,,2018-08-23 00:00:00,,6133362.2018.8.23,,,26.2,0,,HARROW CDA AUTO,,1.6,0,,19.6,,,,,85,,,13,,2018,23,8,,,,ON
-82.9,42.03333333333333,,46,6133362,,2018-08-24 00:00:00,,6133362.2018.8.24,,,25.2,0,31,HARROW CDA AUTO,,1.8,0,,19.8,,,,,88,,,14.4,,2018,24,8,,,18,ON
-82.9,42.03333333333333,,71,6133362,,2018-08-25 00:00:00,,6133362.2018.8.25,,,24.4,8.2,45,HARROW CDA AUTO,,4.4,0,,22.4,,,,,93,,,20.4,,2018,25,8,,,20,ON
-82.9,42.03333333333333,,71,6133362,,2018-08-26 00:00:00,,6133362.2018.8.26,,,28.3,0,,HARROW CDA AUTO,,7.1,0,,25.1,,,,,94,,,22,,2018,26,8,,,,ON
-82.9,42.03333333333333,,61,6133362,,2018-08-27 00:00:00,,6133362.2018.8.27,,,31.2,0,,HARROW CDA AUTO,,8.9,0,,26.9,,,,,93,,,22.7,,2018,27,8,,,,ON
-82.9,42.03333333333333,,63,6133362,,2018-08-28 00:00:00,,6133362.2018.8.28,,,31.1,0,41,HARROW CDA AUTO,,9.6,0,,27.6,,,,,84,,,24.1,,2018,28,8,,,24,ON
-82.9,42.03333333333333,,55,6133362,,2018-08-29 00:00:00,,6133362.2018.8.29,,,28.8,2,35,HARROW CDA AUTO,,6.7,0,,24.7,,,,,87,,,20.6,,2018,29,8,,,24,ON
-82.9,42.03333333333333,,55,6133362,,2018-08-30 00:00:00,,6133362.2018.8.30,,,24.5,0,,HARROW CDA AUTO,,1.5,0,,19.5,,,,,88,,,14.5,,2018,30,8,,,,ON
-82.9,42.03333333333333,,64,6133362,,2018-08-31 00:00:00,,6133362.2018.8.31,,,25.2,0,,HARROW CDA AUTO,,1.7,0,,19.7,,,,,94,,,14.1,,2018,31,8,,,,ON
-82.9,42.03333333333333,,67,6133362,,2018-09-01 00:00:00,,6133362.2018.9.1,,,29.1,18,,HARROW CDA AUTO,,7,0,,25,,,,,95,,,20.9,,2018,1,9,,,,ON
-82.9,42.03333333333333,,64,6133362,,2018-09-02 00:00:00,,6133362.2018.9.2,,,30.3,0,31,HARROW CDA AUTO,,8.5,0,,26.5,,,,,90,,,22.7,,2018,2,9,,,23,ON
-82.9,42.03333333333333,,63,6133362,,2018-09-03 00:00:00,,6133362.2018.9.3,,,31.1,5.2,33,HARROW CDA AUTO,,8.4,0,,26.4,,,,,95,,,21.8,,2018,3,9,,,28,ON
-82.9,42.03333333333333,,61,6133362,,2018-09-04 00:00:00,,6133362.2018.9.4,,,31,0,,HARROW CDA AUTO,,8,0,,26,,,,,96,,,21,,2018,4,9,,,,ON
-82.9,42.03333333333333,,54,6133362,,2018-09-05 00:00:00,,6133362.2018.9.5,,,31.8,0,,HARROW CDA AUTO,,9.1,0,,27.1,,,,,90,,,22.4,,2018,5,9,,,,ON
-82.9,42.03333333333333,,73,6133362,,2018-09-06 00:00:00,,6133362.2018.9.6,,,23.7,0.2,,HARROW CDA AUTO,,3,0,,21,,,,,94,,,18.4,,2018,6,9,,,,ON
-82.9,42.03333333333333,,60,6133362,,2018-09-07 00:00:00,,6133362.2018.9.7,,,22.7,0,,HARROW CDA AUTO,,2.2,0,,20.2,,,,,83,,,17.7,,2018,7,9,,,,ON
-82.9,42.03333333333333,,62,6133362,,2018-09-08 00:00:00,,6133362.2018.9.8,,,18.8,0,39,HARROW CDA AUTO,,0,2,,16,,,,,74,,,13.3,,2018,8,9,,,5,ON
-82.9,42.03333333333333,,66,6133362,,2018-09-09 00:00:00,,6133362.2018.9.9,,,16.6,6.6,44,HARROW CDA AUTO,,0,3.5,,14.5,,,,,96,,,12.3,,2018,9,9,,,2,ON
-82.9,42.03333333333333,,90,6133362,,2018-09-10 00:00:00,,6133362.2018.9.10,,,17.5,2.1,31,HARROW CDA AUTO,,0,2.9,,15.1,,,,,96,,,12.8,,2018,10,9,,,7,ON
-82.9,42.03333333333333,,62,6133362,,2018-09-11 00:00:00,,6133362.2018.9.11,,,22.4,0,,HARROW CDA AUTO,,0,0.6,,17.4,,,,,96,,,12.3,,2018,11,9,,,,ON
-82.9,42.03333333333333,,70,6133362,,2018-09-12 00:00:00,,6133362.2018.9.12,,,22.1,0,,HARROW CDA AUTO,,0,0.8,,17.2,,,,,97,,,12.2,,2018,12,9,,,,ON
-82.9,42.03333333333333,,88,6133362,,2018-09-13 00:00:00,,6133362.2018.9.13,,,22.6,0,,HARROW CDA AUTO,,0.7,0,,18.7,,,,,98,,,14.8,,2018,13,9,,,,ON
