x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-78.36666666666666,44.233333333333334,,15.7,2005,2005-12-25 00:00:00,,4,PETERBOROUGH A,6166418.2005.12.25,,,3,2.3,25,,1.5,6166418,,8.4,,,,,,18.4,,,ON,,,,0,7,12,
-78.36666666666666,44.233333333333334,,18.5,2005,2005-12-26 00:00:00,,1,PETERBOROUGH A,6166418.2005.12.26,,,1,-0.5,26,,-2,6166418,,0,,,,,T,1.4,,,ON,,,,0,5,12,
-78.36666666666666,44.233333333333334,,20.5,2005,2005-12-27 00:00:00,,0,PETERBOROUGH A,6166418.2005.12.27,,,1,-2.5,27,,-6,6166418,,0,,,,,,0,,,ON,,,,0,6,12,
-78.36666666666666,44.233333333333334,,18,2005,2005-12-28 00:00:00,,0,PETERBOROUGH A,6166418.2005.12.28,,,1,0,28,,-1,6166418,,12.2,,,,,,12.2,,,ON,,,,0,6,12,
-78.36666666666666,44.233333333333334,,17.7,2005,2005-12-29 00:00:00,,0,PETERBOROUGH A,6166418.2005.12.29,,,1,0.3,29,,-0.5,6166418,,1.2,,,,,,1.2,,,ON,,,,0,4,12,
-78.36666666666666,44.233333333333334,,24,2005,2005-12-30 00:00:00,,0,PETERBOROUGH A,6166418.2005.12.30,,,-5,-6,30,,-7,6166418,,0,T,,,,,0,,,ON,,,T,0,4,12,
-78.36666666666666,44.233333333333334,,27.8,2005,2005-12-31 00:00:00,,5,PETERBOROUGH A,6166418.2005.12.31,,,-8.5,-9.8,31,,-11,6166418,,0,,,,,,3.8,,,ON,,,,0,4,12,
-78.36666666666666,44.233333333333334,,24,2006,2006-01-01 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.1,,,-3,-6,1,,-9,6166418,,0,T,,,,,0,,,ON,,,T,0,9,1,
-78.36666666666666,44.233333333333334,,20.5,2006,2006-01-02 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.2,,,0.5,-2.5,2,,-5.5,6166418,,0,,,,,,0,,,ON,,,,0,9,1,
-78.36666666666666,44.233333333333334,,18.8,2006,2006-01-03 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.3,,,0,-0.8,3,,-1.5,6166418,,0,,,,,,0,,,ON,,,,0,8,1,
-78.36666666666666,44.233333333333334,,18.3,2006,2006-01-04 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.4,,,2,-0.3,4,,-2.5,6166418,,9.6,,,,,,9.6,,,ON,,,,0,8,1,
-78.36666666666666,44.233333333333334,,17.5,2006,2006-01-05 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.5,,,2,0.5,5,,-1,6166418,,0.6,,,,,,0.6,,,ON,,,T,0,4,1,
-78.36666666666666,44.233333333333334,,26,2006,2006-01-06 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.6,E,E,-6,-8,6,,-10,6166418,E,0,T,E,,,,0,,,ON,,,T,0,4,1,
-78.36666666666666,44.233333333333334,,26,2006,2006-01-07 00:00:00,,8,PETERBOROUGH A,6166418.2006.1.7,,,-1,-8,7,,-15,6166418,,0,,,,,,3.6,,,ON,,,,0,4,1,
-78.36666666666666,44.233333333333334,,20.5,2006,2006-01-08 00:00:00,,3,PETERBOROUGH A,6166418.2006.1.8,,,1,-2.5,8,,-6,6166418,,0,,,,,,1.8,,,ON,,,,0,12,1,
-78.36666666666666,44.233333333333334,,18.3,2006,2006-01-09 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.9,,,1.5,-0.3,9,,-2,6166418,,0,T,,,,,0,,,ON,,,T,0,13,1,
-78.36666666666666,44.233333333333334,,18.8,2006,2006-01-10 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.10,,,2.5,-0.8,10,,-4,6166418,,0.2,,,,,,0.2,,,ON,,,,0,11,1,
-78.36666666666666,44.233333333333334,,16.2,2006,2006-01-11 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.11,,,7.5,1.8,11,,-4,6166418,,2.6,,,,,,2.6,,,ON,,,,0,9,1,
-78.36666666666666,44.233333333333334,,15,2006,2006-01-12 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.12,,,5,3,12,,1,6166418,,0,,,,,,0,,,ON,,,,0,5,1,
-78.36666666666666,44.233333333333334,,17.2,2006,2006-01-13 00:00:00,,0,PETERBOROUGH A,6166418.2006.1.13,,,6.5,0.8,13,,-5,6166418,,4.8,,,,,,4.8,,,ON,,,,0,4,1,
